,Hydropower Plant,Status,LAT N,LON E,State/Region,District,Township,Village,Basin,Sub-Basin (HP Chapter),Sub-Basin (GIS Maps),River/ Watershed,Developer,Country,Investment by,Installed Capacity (MW),Myanmar Selfuse (MW),Export (MW),Export to,Estimated No. Construction Workers (planned projects),Year_Simplified
77,Yeywa (middle),MOU,21.96023958,96.87313044,Shan,Kyaukme,Nawng Khio,Yedwingyi,Ayeyarwady,Myitnge,Lower Myitnge,Lower Myitnge,SN Power,Norway,Foreign JV/BOT,700.0,700.0,0.0,,2800.0,2020.0
78,Yeywa (upper),Construction,22.254093,97.046741,Shan,Pyinoolwin,Kyautme,,Ayeyarwady,Myitnge,Lower Myitnge,Lower Myitnge,MoEE,Myanmar,Sole Investment ,280.0,280.0,0.0,,,2019.0
79,Ywathit,MOA,19.131059,97.521257,Kayah,Bawlake,Ywathit,Bawlakhe,Thanlwin,Thanlwin Mainstem,Middle Thanlwin,Thanlwin Mainstem,CDOI/STH,PRC/MYA,Foreign JV/BOT,4000.0,400.0,3600.0,Thailand,11900.0,2030.0
80,Zaungtu,Built,17.755818,96.19898,Bago,Bago,Bago,,Myit Mo Hka & Bago,Bago,Bago,Bago River,MoEE,Myanmar,Sole Investment ,20.0,20.0,0.0,,,2000.0
81,Zawgyi I,Built,21.3832999999999,96.90147,Shan,Taunggyi,Yaksauk,,Ayeyarwady,Myitnge,Zawgyi/Myogyi,Zawgyi River,MoEE,Myanmar,Sole Investment ,18.0,18.0,0.0,,,1995.0
82,Zawgyi II,Built,21.5648,96.8726,Shan,Taunggyi,Yaksauk,,Ayeyarwady,Myitnge,Zawgyi/Myogyi,Zawgyi River,MoEE/MOALI,Myanmar,Sole Investment ,12.0,12.0,0.0,,,2011.0
83,Mali,Built,24.98458,97.6135,Kachin,Myitkyina,Waingmaw,Gau Dau Yang,Ayeyarwady,Mali Creek,Mali Creek,Mali Creek,Buga Co.,Myanmar,Local BOT,10.5,10.5,0.0,,,2006.0
84,Nam Tabak II,MOA,25.119755,97.650627,Kachin,Myitkyina,Waingmaw,Waingmaw,Ayeyarwady,Namtabak,Namtabak,Namtamhpak,China Guodian/Tun Thwin Mining),PRC/MYA,Foreign JV/BOT,144.0,,,<-PRC?,600.0,2027.0
85,Mong Hsat,LocMoU,20.662222222222223,99.375,Shan,Mong Hsat,,,Mekong,Nam Hkoke,Nam Hkoke,Nam Hkoke,Suntac Power Co.,Myanmar,Local BOT,30.0,30.0,30.0,,100.0,
86,Tawog Hka,Identified,26.3096871595,96.5298703708,Kachin,Myitkyina,,Nam Gawn,Chindwin,Chindwin Headwater 2,Chindwin Headwater 2,Nam Lanog Hka,,,,50.0,,,,200.0,
87,Ta Rung Hka,Identified,26.7180294984,96.4682903641,Kachin,Myitkyina,,TaKyet,Chindwin,Chindwin Headwater 1,Chindwin Headwater 1,Ta Rung Hka,,,,150.0,,,,600.0,
88,Ta Nai Hka,Identified,26.294174906,96.9500796869,Kachin,Myitkyina,,Aung Lut,Chindwin,Chindwin Headwater 2,Chindwin Headwater 2,Ta Nai Hka,,,,15.0,,,,100.0,
89,Thauk Ye Khat 1,Identified,18.938586522,96.7196235476,Kayin,,,,Sittaung,Other Sittaung,Other Sittaung,Thauk Ye Khat,,,,150.0,,,,600.0,
90,Yunzalin,Identified,18.2949598507,97.3408098356,Kayin,Panan,,,Thanlwin,Yunzalin,Yunzalin HPP,,,,,100.0,,,,400.0,
91,Lam Pha,Identified,16.3050211034,98.3487578274,Kayin,Kawareik,,Lam Pha,Thanlwin,Lam Pha,Lam Pha HPP,Lam Pha,,,,19.5,,,,100.0,
92,Mi Chaung,Identified,21.3341874494,93.0734954353,Chin,Mindat,,,Rakhine,Kaladan,Kaladan,Mi Chaung,,,,200.0,,,,800.0,
93,U Yu Chaung,Identified,24.8659483,95.2944309187,Sagaing,Hkamti,,,Chindwin,Uyu,Uyu,Uyu,,,,12.0,,,,50.0,
94,Thein Kun Chaung,Identified,11.7699493323,99.3312051472,Tanintharyi,Myeik,,,Tanintharyi,Tanintharyi,Tanintharyi,Thein Kun,,,,25.0,,,,100.0,
95,Tha Gyet Chaung,Identified,12.1328960339,99.2271612368,Tanintharyi,,,,Tanintharyi,Tanintharyi,Tanintharyi,Tha Gyet,,,,20.0,,,,100.0,
96,Glohong Kra,Identified,10.7752089662,98.8583235172,Tanintharyi,,,,Tanintharyi,Glohong Kra,Glohong Kra HPP,Glohong Kra,,,,40.0,,,,200.0,
97,Myet Taw Chaung,Identified,15.6820111432,97.9157689741,Kayin,Kawareik,,,Thanlwin,Myet Taw Chaung,Myet Taw Chaung HPP,Myet Taw Chaung,,,,10.0,,,,40.0,
98,Mindon,Identified,19.3708897645,94.7128660392,Magway,Thayet,,,Ayeyarwady,Mindon,Mindon HPP,,,,,18.0,,,,100.0,
99,Than Dwe,Identified,18.3861441333,94.4939020793,Rakhine,Thandwe,Thandwe,,Rakhine,Than Dwe,Than Dwe HPP,Than Dwe,,,,39.0,,,,200.0,
100,Kyein Ta Li,Identified,17.9500121403,94.5765079082,Rakhine,,,,Rakhine,Kyein Ta Li,Kyein Ta Li HPP,Kyein Ta Li,,,,28.0,,,,100.0,
101,Nam Hkok,Identified,20.1963370559,99.3466699698,Shan,Mong Hsat,,,Mekong,Nam Hkoke,Nam Hkoke,Nam Hkoke,,,,30.0,,,,100.0,
102,Saing Din,Identified,20.8937787735,92.6521877357,Rakhine,,BuuTheeTaung,,Rakhine,Saing Din Creek,Saing Din Creeek,,,,,76.5,,,,300.0,
103,Sar Ra Wa Chaung,Identified,12.8294060736,98.9816704481,Tanintharyi,,,,Tanintharyi,Tanintharyi,Tanintharyi,,,,,11.0,,,,50.0,
