"By Classification(1)","By Classification(2)","1985","1990","1995","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017 (p)"
"NORTH WEST EUROPE","Others","0.05","-","#","1.89","0.96","28.38","3.68","5.74","2.69","2.6","1.6","7.57","7.78","5.79","7.64","7.26","6.06","3.03","8.46","6.18","10.45","13.24"
"SOUTHERN EUROPE","","4.69","0.12","3.08","119.03","50.88","510.49","521.46","529.01","122.03","48.59","52.43","48.21","39.33","37.13","39.97","38.45","40.08","61.71","62.96","69.99","143.99","309.09"
"SOUTHERN EUROPE","Italy","4.69","0.12","2.02","35.16","14.9","129.19","139.49","141.89","18.56","13.37","20.97","16.93","4.1","6.4","5.78","6.89","14.12","16.78","19.9","22.98","51.11","106.02"
"SOUTHERN EUROPE","Spain","-","-","0.35","10.02","2.1","33.24","44.05","65.4","16.08","18.96","23.47","24.75","26.41","23.49","23.89","16.05","19.86","28.96","37.9","37.56","82.49","169.08"
"SOUTHERN EUROPE","Others","-","-","0.71","73.85","33.88","348.06","337.92","321.72","87.39","16.26","7.99","6.53","8.82","7.24","10.3","15.51","6.1","15.97","5.16","9.45","10.39","33.99"
"EASTERN EUROPE","","26.66","-","6.6","78.51","8.65","52.72","100.92","79.79","14.19","7.17","3.63","5.86","8.84","8.82","48.82","25.53","42.37","27.89","57.75","63.02","108.35","151.44"
"EASTERN EUROPE","Czech and slovak","10.92","-","-","0.73","-","-","0.5","-","-","-","-","-","0.31","0.33","0.11","0.19","-","0.06","0.82(r)","1.53","7.32","14.18"
"EASTERN EUROPE","Finland","-","-","0.03","12.69","0.07","0.5","0.92","0.68","0.15","0.08","0.43","0.32","0.27","0.06","#","0.12","0.5","0.11","0.38","0.33","0.95","3.69"
"EASTERN EUROPE","Yugoslavia","6.77","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"EASTERN EUROPE","Russia","0.01","-","0.08","0.97","0.17","2.2","2.52","6.56","0.4","0.98","0.82","1.06","1.75","3.16","8.32","12.58","27.26","15.8","15.59","3.85","8.42","20.2"
"EASTERN EUROPE","Others","8.96","-","6.49","64.12","8.41","50.02","96.98","72.55","13.64","6.11","2.38","4.48","6.51","5.27","40.39","12.64","14.61","11.92","40.96(r)","57.31","91.66","113.37"
"AFRICA","","276.45","8.67","5.78","2.38","2.83","2.46","1.2","0.6","0.06","2.59","4.23","34.1","119.17","206.7","92.96","173.28","73.73","9.03","5.72","8.86","61.95","226.95"
"AFRICA","Sierra Leone","4.14","-","0.47","0.01","-","-","-","-","-","-","-","-","-","-","-","0.75","-","-","0.04","#","0.1","0.15"
"AFRICA","Mauritius","15.56","-","2.24","-","-","-","-","-","-","-","-","-","-","-","-","-","0.02","-","0.15","0.24","0.08","0.26"
"AFRICA","Gambia","4.06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.09","-","3.04","0.71","0.24"
"AFRICA","Ivory Coast","4.11","-","-","-","-","-","-","-","-","-","-","-","49.97","143.84","82.21","160.94","8.13","-","0.02","-","22.85","75.14"
"AFRICA","Others","248.58","8.67","3.07","2.37","2.83","2.46","1.2","0.6","0.06","2.59","4.23","34.1","69.2","62.86","10.75","11.59","65.58","8.94","5.51(r)","5.58","38.21","151.16"
"OCEANIA","","0.11","#","5.57","60.01","12.09","136.41","96.08","69.19","15.74","17.8","24.78","16.37","25.05","12.45","17.75","8.88","10.11","13.31","10.41","10.96","39.98","24.54"
"OCEANIA","Australia","0.1","#","3.59","56.63","11.68","133.77","93.74","68.39","15.61","13.19","17","10.42","15.71","11.03","17.17","8.63","8.95","12.43","9.31","8.62","23.25","21.9"
"OCEANIA","New Zealand and other islands in the Pacific","0.01","#","1.98","3.38","0.41","2.64","2.34","0.8","0.13","4.61","7.78","5.95","9.34","1.42","0.58","0.25","1.16","0.88","1.1","2.34","16.73","2.64"
"OTHERS","","38.37","1.68","49.27","2244.97","298.42","0.74","0.58","2.28","0.12","0.11","0.06","0.39","2.85","-","4.15","10.36","1.46","2.32","-","-","2.27","19.47"
"OTHERS","Ship- stores","1.34","0.69","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"OTHERS","Country unclassified","37.03","0.99","49.27","2244.97","298.42","0.74","0.58","2.28","0.12","0.11","0.06","0.39","2.85","-","4.15","10.36","1.46","2.32","r","-","2.27","19.47"
"GRAND TOTAL","","2653.9","476.54","896.94","8947.3","1960.87","17130.73","19955.06","14119.16","2927.83","3558.03","5232.68","6401.72","6779.11","7586.94","8861.01","9135.6","8977.01","11203.96","12523.71","11136.88","11951.64","14850.66"
